Tanggal,No PO,No SO,Tanggal SPK,Deadline SPK,Nama Vendor (PIC),Kontak,Kategori Produk,Jenis Produk,Nama Produk,Qty,Satuan,Revisi,Tgl Revisi,Jumlah Harga,Sub Total,Metode Pembayaran,Nama Sales,Tanggal.1,Nilai Pembayaran,Tanggal.2,Nilai Pembayaran.1,Tanggal.3,Nilai Pembayaran.2,Tanggal.4,Nilai Pembayaran.3,Tanggal.5,Nilai Pembayaran.4,Tanggal.6,Nilai Pembayaran.5,Tanggal.7,Nilai Pembayaran.6,Tanggal.8,Nilai Pembayaran.7,Tanggal.9,Nilai Pembayaran.8,Tanggal.10,Nilai Pembayaran.9,Tanggal.11,Nilai Pembayaran.10,Tanggal.12,Nilai Pembayaran.11,Jumlah Penyelesaian,Kekurangan Pembayaran,Status Pengiriman,Hutang Vendor,Link Odoo Project - Core Process,Checklist Keuangan,Bulan
2025-07-26,P00537,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Grill,Grill Bontang Cover dan Frame,194.0,PCS,,,238620000.0,886420000.0,Transfer ,,29/07/2025,Rp150.000.000,31/07/2025,Rp115.926.000,Potongan,23.625.000,15/09/2025,20.000.000,02/10/2025,50.000.000,13/10/2025,100.000.000,16/10/2025,250.000.000,17/10/2025,50.000.000,22/4/2026,50.000.000,,,,,,,809551000.0,76869000.0,Diterima Futake,76869000.0,,False,2025-07
2025-07-26,P00537,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Kursi Taman,Kursi taman custom Bontang panjang 150cm,24.0,PCS,,,48000000.0,,Transfer ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2025-07
2025-07-26,P00537,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Lampu  ,Lampu Trotoar Custom Bontang Kuntul,64.0,PCS,,,284800000.0,,Transfer ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2025-07
2025-07-26,P00537,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Stand Bollard,Stand Bollard Bontang 2,300.0,PCS,,,315000000.0,,Transfer ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2025-07
2025-10-06,P00722,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Kursi Taman,Kursi Taman Paser,38.0,PCS,,,100700000.0,210160000.0,Transfer ,Anis,08/10/2025,Rp20.000.000,22/11/2025,Rp50.000.000,17/03/2026,66.149.775,04/04/2026,750.000,08/05/2026,3.120.000,,,,,,,,,,,,,,,140019775.0,70140225.0,Diterima Futake,70140225.0,,False,2025-10
2025-10-06,P00722,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Tiang Lampu,"Tiang Lampu T 2,5m",10.0,PCS,,,30500000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2025-10
2025-10-06,P00722,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,Tiang Lampu,"Tiang Lampu T 3,5m",24.0,PCS,,,78960000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2025-10
2025-11-03,P00810,S02021,04/11/2025,29/11/2025,MF ANTIK,62 812-1506-204,Street Furniture & Landscape,KURSI TAMAN,KURSI TAMAN TEGAL,12.0,PCS,,,30000000.0,30000000.0,Transfer ,Anis,04/11/2025,Rp9.000.000,,,,,,,,,,,,,,,,,,,,,,,9000000.0,21000000.0,Diterima Futake,,http://erp.futake.co.id/mail/view?model=project.task&res_id=6271&access_token=d44ac4f1-85bb-4646-a7d2-91113f1afb82,False,2025-11
2025-11-03,P00814,S02021,04/11/2025,29/11/2025,BENGKEL LAS YUDHA MANDIRI (MAS YUYUN),62 813-9031-2809,Street Furniture & Landscape,AMBIENCE,Ambience Light,10.0,PCS,,,12500000.0,182150000.0,Transfer ,Anis,04/11/2025, Rp 54.645.000 ,19/11/2025, Rp 38.251.500 ,28/11/2025, Rp 44.626.750 ,29/11/2025,44.626.750,,,,,,,,,,,,,,,,,182150000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=5890&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-11-03,P00814,S02021,04/11/2025,29/11/2025,BENGKEL LAS YUDHA MANDIRI (MAS YUYUN),62 813-9031-2809,Street Furniture & Landscape,TIANG PJU,Tiang PJU Poci Tegal,29.0,PCS,,,169650000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,https://erp.futake.co.id/web#id=5890&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-11-03,P00818,,30/10/2025,01/11/2025,Pak Zani,,Street Furniture & Landscape,COR ALUMUNIUM,Cor alumunium Ornamen Tiang Papan Nama Bali,75.0,PCS,,,3900000.0,3900000.0,Transfer ,,24/11/2025,Rp3.900.000,,,,,,,,,,,,,,,,,,,,,,,3900000.0,0.0,Diterima Futake,0.0,http://erp.futake.co.id/mail/view?model=project.task&res_id=9855&access_token=b90c6d03-2d9b-47cf-ba61-acb7544b6cf7,False,2025-11
2025-11-04,P00822,S02034,10/11/2025,18/11/2025,MF ANTIK,62 812-1506-204,Street Furniture & Landscape,TIANG LAMPU,TIANG LAMPU CILEGON,22.0,PCS,,,121000000.0,121000000.0,Transfer ,Yusuf,04/11/2025,Rp36.300.000,,,,,,,,,,,,,,,,,,,,,,,36300000.0,84700000.0,Diterima Futake,,https://erp.futake.co.id/web#id=9609&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-11-06,P00837,,07/11/2025,12/11/2025,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,GRILL,Grill Austinville 70x42,15.0,PCS,,,16875000.0,18000000.0,Transfer ,,07/11/2025, Rp 5.062.500 ,05/12/2025,Rp11.812.500,29/02/2026,1.125.000,,,,,,,,,,,,,,,,,,,18000000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=9666&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-11-06,P00837, ,,,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,GRILL,Jasa Perbaikan Grill Austinville 70x42 ,1.0,,,,1125000.0,,Transfer ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2025-11
2025-11-08,P00844,,10/11/2025,29/11/2025,CV Mandiri Baru,87874843242,Street Furniture & Landscape,TEMPAT SAMPAH,TEMPAT SAMPAH 3 IN 1 PLASTIK,64.0,PCS,,,54400000.0,54400000.0,Transfer ,,10/11/2025,Rp16.320.000,,,,,,,,,,,,,,,,,,,,,,,16320000.0,38080000.0,Diterima Futake,38080000.0,https://erp.futake.co.id/web#id=9733&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-11-22,P00898,Cancle,,,Bapak Antok,62 821-3706-6888,Street Furniture & Landscape,BOLLARD,BOLLARD BALIKPAPAN TYPE 3 MAHDI,16.0,PCS,,,14080000.0,14080000.0,Transfer ,Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14080000.0,Belum Diterima Futake,0.0,,False,2025-11
2025-11-24,P00912,,,,Futastone,62 823-2220-4090,Street Furniture & Landscape,GUIDING BLOCK,GUIDING BLOCK UBIN GO,16.0,PCS,,,140800.0,176000.0,Transfer ,Fajar,26/11/2025,Rp176.000,,,,,,,,,,,,,,,,,,,,,,,176000.0,0.0,Diterima Futake,0.0,,False,2025-11
2025-11-24,P00912,,,,Futastone,62 823-2220-4090,Street Furniture & Landscape,GUIDING BLOCK,GUIDING BLOCK UBIN STOP,4.0,PCS,,,35200.0,,Transfer ,Fajar,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2025-11
2025-11-26,P00915,,,,BENGKEL LAS YUDHA MANDIRI (MAS YUYUN),62 813-9031-2809,Street Furniture & Landscape,TIANG LAMPU,TIANG LAMPU CABANG 3 FINISHING,40.0,PCS,,,48000000.0,48000000.0,Transfer ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48000000.0,Belum Diterima Futake,0.0,https://erp.futake.co.id/web#id=9793&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-11
2025-12-01,P00935,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,MANHOLE,MANHOLE GUNUNG KIDUL FC,7.0,PCS,,,13650000.0,18306000.0,Transfer ,Yusuf,04/12/2025,Rp 5.491.800,08/12/2025,Rp 5.491.800,09/12/2025,Rp 7.331.400,,,,,,,,,,,,,,,,,,,18315000.0,-9000.0,Diterima Futake,9000.0,https://erp.futake.co.id/web#id=10341&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-12
2025-12-01,P00935,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,GRILL,GRILL BALIKPAPAN 30 X40 CM FCD,8.0,PCS,,,3400000.0,,Transfer ,Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,https://erp.futake.co.id/web#id=10341&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-12
2025-12-01,P00935,,,,Kembar Teknika,62823-2220-1080,Street Furniture & Landscape,MOLDING,BIAYA MOULDING MANHOLE GUNUNG KIDUL FC,1.0,PCS,,,1256000.0,,Transfer ,Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,https://erp.futake.co.id/web#id=10341&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2025-12
2025-12-05,P00957,,,,Futastone,62 823-2220-4090,Art & Craft,KANSTIN,KANSTIN 40X10X20,1400.0,PCS,,,24500000.0,28901000.0,Transfer ,Yusuf,18/12/2025,Rp 4.401.000,,,,,,,,,,,,,,,,,,,,,,,4401000.0,24500000.0,Diterima Futake,24500000.0,,False,2025-12
2025-12-05,P00957,,,,Futastone,62 823-2220-4090,Street Furniture & Landscape,GUIDING BLOCK,GUIDING BLOCK UBIN GO,489.0,PCS,,,4401000.0,,Transfer ,Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,Diterima Futake,0.0,,False,2025-12
2025-12-16,P01000,S01641,01/10/2025,15/09/2025,Futastone,62 823-2220-4090,Street Furniture & Landscape,GUIDING BLOCK,GUIDING BLOCK UBIN GO,586.0,PCS,,,5274000.0,5634000.0,,Fajar,23/12/2025,Rp5.634.000,,,,,,,,,,,,,,,,,,,,,,,5634000.0,0.0,Diterima Futake,0.0,,False,2025-12
