Tanggal Penerimaan,No SO,No PO,Nama Vendor,No Handphone Vendor,Alamat Vendor,Kategori Produk,Jenis Produk,Nama Produk,Qty,Satuan,Kondisi Produk,Link Dokumen QC,Checklist Keuangan
2026-05-04,Stock,P00071,Bintang Steel (Pak Dandung),62 812-2588-5220,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Dandang,Dandang 25 Liter Berkeran,10,Unit,Lolos,https://drive.google.com/file/d/1t64j3V2YdwQtv8zdDzbUSKio8f0xrxX4/view?usp=drive_link,False
2026-05-04,Stock,P00071,Bintang Steel (Pak Dandung),62 812-2588-5220,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Dandang,Dandang 50 Liter Berkeran,10,Unit,Lolos,https://drive.google.com/file/d/1t64j3V2YdwQtv8zdDzbUSKio8f0xrxX4/view?usp=drive_link,False
2026-05-05,Stock,P00087,Aji Jaya Teknik,8562734527,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Roofdrain,"Roofdrain Dua Susun Datar Ukuran 2""",100,Unit,Lolos,https://drive.google.com/file/d/1hFZlcLkwTYFUMX-z1R1BduP9AX_gLZei/view?usp=drive_link,False
2026-05-05,Stock,P00087,Aji Jaya Teknik,8562734527,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Roofdrain,"Roofdrain Dua Susun Cembung Ukuran 3""",150,Unit,Lolos,https://drive.google.com/file/d/1hFZlcLkwTYFUMX-z1R1BduP9AX_gLZei/view?usp=drive_link,False
2026-05-05,Stock,P00087,Aji Jaya Teknik,8562734527,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Roofdrain,"Roofdrain Dua Susun Cembung Ukuran 4""",150,Unit,Lolos,https://drive.google.com/file/d/1hFZlcLkwTYFUMX-z1R1BduP9AX_gLZei/view?usp=drive_link,False
2026-05-05,S00335,P00073,MF Antik,62 812-1506-204,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Kursi,Kursi Merak,1,Unit,Lolos,https://drive.google.com/drive/folders/1N6_vC7XR-8sH_3DDh-7Ss0MnpoOHqTXe?hl=id,False
2026-05-06,Stock,P00102,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples Kaca 6 no 1,10,Unit,Lolos,https://drive.google.com/file/d/1XB_5ZCpqvWhhOxBz41XcZxCr8M48GdXH/view?usp=drive_link,False
2026-05-07,S00309,P00057,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Spigot Flange,"Spigot flange CI PN P.20cm Uk.2""",172,Unit,Lolos,https://drive.google.com/file/d/19prn_8kpzyMLraQccaG2UUBbZ202zYGv/view?usp=sharing,False
2026-05-07,S00309,P00057,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Spigot Flange,"Spigot flange CI PN P.20cm Uk.3""",24,Unit,Lolos,https://drive.google.com/file/d/19prn_8kpzyMLraQccaG2UUBbZ202zYGv/view?usp=sharing,False
2026-05-07,S00309,P00057,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Spigot Flange,"Spigot flange CI PN P.20cm Uk.4""",38,Unit,Lolos,https://drive.google.com/file/d/19prn_8kpzyMLraQccaG2UUBbZ202zYGv/view?usp=sharing,False
2026-05-07,S00309,P00057,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Spigot Flange,"Spigot flange CI PN P.20cm Uk.6""",32,Unit,Lolos,https://drive.google.com/file/d/19prn_8kpzyMLraQccaG2UUBbZ202zYGv/view?usp=sharing,False
2026-05-07,S00311,P00058,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Joint CI PN16 STD 11cm Uk.2""",44,Unit,Lolos,https://drive.google.com/file/d/1ipT2j78YYiA2lpanvkxTzDnwbZ_8rnlc/view?usp=sharing,False
2026-05-07,S00311,P00058,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Joint CI PN16 STD 11cm Uk.3""",6,Unit,Lolos,https://drive.google.com/file/d/1ipT2j78YYiA2lpanvkxTzDnwbZ_8rnlc/view?usp=sharing,False
2026-05-07,S00311,P00058,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Joint CI PN16 STD 11cm Uk.4""",10,Unit,Lolos,https://drive.google.com/file/d/1ipT2j78YYiA2lpanvkxTzDnwbZ_8rnlc/view?usp=sharing,False
2026-05-07,S00311,P00058,Teknika Jaya,85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Joint CI PN16 STD 11cm Uk.6""",8,Unit,Lolos,https://drive.google.com/file/d/1ipT2j78YYiA2lpanvkxTzDnwbZ_8rnlc/view?usp=sharing,False
2026-05-08,S00362,P00082,Reyhan Besi Jaya,62 878-7575-6392,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Cetakan Buis Beton RCP,Cetakan Buis Beton RCP Uk. 30 x 120 tebal beton 4 cm,1,Unit,Lolos,https://drive.google.com/file/d/1gBarlvEGMGpMC8utyL0PlxkZubL7PsNN/view?usp=sharing,False
2026-05-09,S00535,P00095,Reyhan Besi Jaya,62 878-7575-6392,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Cetakan Buis Beton RCP,Cetakan Buis Beton RCP Uk. 40 x 120 tebal beton 4 cm,1,Unit,Lolos,https://drive.google.com/file/d/1_cAl1k5B-saeU-V5fPWwav8eujyr2-vv/view?usp=sharing,False
2026-05-10,Stock,P00110,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples kaca 4 No 1,15,Unit,Lolos,https://drive.google.com/file/d/1essY_aAOgbZeVxnTiKRnl5O2GutBgjmN/view?usp=sharing,False
2026-05-10,Stock,P00110,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples kaca 6 No 2,7,Unit,Lolos,https://drive.google.com/file/d/1essY_aAOgbZeVxnTiKRnl5O2GutBgjmN/view?usp=sharing,False
2026-05-10,Stock,P00110,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples kaca 6 No 3,9,Unit,Lolos,https://drive.google.com/file/d/1essY_aAOgbZeVxnTiKRnl5O2GutBgjmN/view?usp=sharing,False
2026-05-10,Stock,P00110,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples kaca 6 No 4,5,Unit,Lolos,https://drive.google.com/file/d/1essY_aAOgbZeVxnTiKRnl5O2GutBgjmN/view?usp=sharing,False
2026-05-11,S00549,P00104,CV Agung Mulia,83866373384,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Guiding Block,Guiding Block Ubin Dot 30 x 30 x 3 Warna Oren,1104,Unit,Lolos,https://drive.google.com/file/d/1hu2yIBKQ96FrXRWK4UX7hPjHaSlOuYcy/view?usp=drive_link,False
2026-05-11,S00549,P00104,CV Agung Mulia,83866373384,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Guiding Block,Guiding Block Ubin Dot 30 x 30 x 3 Warna kuning,896,Unit,Lolos,https://drive.google.com/file/d/1hu2yIBKQ96FrXRWK4UX7hPjHaSlOuYcy/view?usp=drive_link,False
2026-05-13,S00472,P00091,TS Alumunium Pak Teguh Basuki,81392989724,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Kursi,Kursi Taman UNDIP,6,Unit,Lolos,https://drive.google.com/file/d/1f2veJxIxCwS3yr-_ZQ3790NRd1Lw_maG/view?usp=sharing,False
2026-05-14,S00339,P00075,Kembar Teknika,81234567890,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Manhole,Manhole Damkar 600 x 60,30,Unit,Lolos,https://drive.google.com/file/d/11oHGa2pQ-vtFRBuaCTNEHV9DevQOatuh/view?usp=drive_link,False
2026-05-15,S02615,P00081,Kembar Teknika,81234567890,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard,Bollard Sleman,3,Unit,Lolos,https://drive.google.com/file/d/1QZQg08Vm-QqcWMrNqxxJpMwXW08qTAlR/view?usp=drive_link,False
2026-05-15,Stock,P00038,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Toples,Toples Kaca 4 no 2,10,Unit,Lolos,https://drive.google.com/file/d/1Aq7rVNPx9tHEgsqvu_PVbbq48GxJt14x/view?usp=sharing,False
2026-05-15,Stock,P00038,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Toples,Toples Kaca 4 no 3,10,Unit,Lolos,https://drive.google.com/file/d/1Aq7rVNPx9tHEgsqvu_PVbbq48GxJt14x/view?usp=sharing,False
2026-05-15,Stock,P00038,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Toples,Toples Kaca 4 no 4,10,Unit,Lolos,https://drive.google.com/file/d/1Aq7rVNPx9tHEgsqvu_PVbbq48GxJt14x/view?usp=sharing,False
2026-05-15,Stock,P00038,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Toples,Toples Kaca 4 no 5,10,Unit,Lolos,https://drive.google.com/file/d/1Aq7rVNPx9tHEgsqvu_PVbbq48GxJt14x/view?usp=sharing,False
2026-05-15,S00451,P00085,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Grill,Grill Chamber uk. 31x50 cm FC,8,Unit,Lolos,https://drive.google.com/file/d/1RU8T5hkdUTqBvGdJYJY5yU-3q-XULQ1O/view?usp=sharing,False
2026-05-16,Stock,P00113,Bintang Steel (Pak Dandung),62 812-2588-5220,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Dandang,Dandang 25 Liter Berkeran,15,Unit,Lolos,https://drive.google.com/file/d/1roXnfx02LHsfQ3pLQ_uQFR6Mppp9DjEk/view?usp=drive_link,False
2026-05-18,S00343,P00078,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Hotplate,Hotplate Cutom,10,Unit,Lolos,https://drive.google.com/file/d/193Cv_V41yEhKvyhl8RXmVHnQlTKF75QP/view?usp=sharing,False
2026-05-18,S02615,P00081,Kembar Teknika,62823-2220-1081,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard,Bollard Sleman,3,Unit,Lolos,https://drive.google.com/file/d/186slQWR2CtpFxshwDmuP8jXk5ZAfhb-9/view?usp=sharing,False
2026-05-18,S00450,P00086,Futastone,62 823-2220-4090,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard,"Bollard Teraso 23 x 23 cm, tinggi 100 cm",8,Unit,Lolos,https://drive.google.com/file/d/1PrPlet7ZehnrjYMaPTd5ylQ2Ni55riCK/view?usp=sharing,False
